Microsoft (R) COFF/PE Dumper Version 14.16.27030.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    C00F8A30 time date stamp
        0.00 version
           8 ordinal base
        2379 number of functions
        2378 number of names

    ordinal hint RVA      name

        443  1B2 0009E580 NtOpenTimer
        444  1B3 0009E5A0 NtOpenTransaction
        445  1B4 0009E5C0 NtOpenTransactionManager
        446  1B5 0009E5E0 NtPlugPlayControl
        447  1B6 0009CC20 NtPowerInformation
        448  1B7 0009E600 NtPrePrepareComplete
        449  1B8 0009E620 NtPrePrepareEnlistment
        450  1B9 0009E640 NtPrepareComplete
        451  1BA 0009E660 NtPrepareEnlistment
        452  1BB 0009E680 NtPrivilegeCheck
        453  1BC 0009E6A0 NtPrivilegeObjectAuditAlarm
        454  1BD 0009E6C0 NtPrivilegedServiceAuditAlarm
        455  1BE 0009E6E0 NtPropagationComplete
        456  1BF 0009E700 NtPropagationFailed
        457  1C0 0009CA50 NtProtectVirtualMemory
        458  1C1 0009E720 NtPulseEvent
        459  1C2 0009C7F0 NtQueryAttributesFile
        460  1C3 0009E740 NtQueryAuxiliaryCounterFrequency
        461  1C4 0009E760 NtQueryBootEntryOrder
        462  1C5 0009E780 NtQueryBootOptions
        463  1C6 0009E7A0 NtQueryDebugFilterState
        464  1C7 0009C2F0 NtQueryDefaultLocale
        465  1C8 0009C8D0 NtQueryDefaultUILanguage
        466  1C9 0009C6F0 NtQueryDirectoryFile
        467  1CA 0009E7C0 NtQueryDirectoryFileEx
        468  1CB 0009E7E0 NtQueryDirectoryObject
        469  1CC 0009E800 NtQueryDriverEntryOrder
        470  1CD 0009E820 NtQueryEaFile
        471  1CE 0009CB10 NtQueryEvent
        472  1CF 0009E840 NtQueryFullAttributesFile
        473  1D0 0009E860 NtQueryInformationAtom
        474  1D1 0009E880 NtQueryInformationByName
        475  1D2 0009E8A0 NtQueryInformationEnlistment
        476  1D3 0009C270 NtQueryInformationFile
        477  1D4 0009E8C0 NtQueryInformationJobObject
        478  1D5 0009E8E0 NtQueryInformationPort
        479  1D6 0009C370 NtQueryInformationProcess
        480  1D7 0009E900 NtQueryInformationResourceManager
        481  1D8 0009C4F0 NtQueryInformationThread
        482  1D9 0009C470 NtQueryInformationToken
        483  1DA 0009E920 NtQueryInformationTransaction
        484  1DB 0009E940 NtQueryInformationTransactionManager
        485  1DC 0009E960 NtQueryInformationWorkerFactory
        486  1DD 0009E980 NtQueryInstallUILanguage
        487  1DE 0009E9A0 NtQueryIntervalProfile
        488  1DF 0009E9C0 NtQueryIoCompletion
        489  1E0 0009C310 NtQueryKey
        490  1E1 0009E9E0 NtQueryLicenseValue
        491  1E2 0009EA00 NtQueryMultipleValueKey
        492  1E3 0009EA20 NtQueryMutant
        493  1E4 0009C250 NtQueryObject
        494  1E5 0009EA40 NtQueryOpenSubKeys
        495  1E6 0009EA60 NtQueryOpenSubKeysEx
        496  1E7 0009C670 NtQueryPerformanceCounter
        497  1E8 0009EA80 NtQueryPortInformationProcess
        498  1E9 0009EAA0 NtQueryQuotaInformationFile
        499  1EA 0009CA70 NtQuerySection
        500  1EB 0009EAC0 NtQuerySecurityAttributesToken
        501  1EC 0009EAE0 NtQuerySecurityObject
        502  1ED 0009EB00 NtQuerySecurityPolicy
        503  1EE 0009EB20 NtQuerySemaphore
        504  1EF 0009EB40 NtQuerySymbolicLinkObject
        505  1F0 0009EB60 NtQuerySystemEnvironmentValue
        506  1F1 0009EB80 NtQuerySystemEnvironmentValueEx
        507  1F2 0009C710 NtQuerySystemInformation
        508  1F3 0009EBA0 NtQuerySystemInformationEx
        509  1F4 0009CB90 NtQuerySystemTime
        510  1F5 0009C750 NtQueryTimer
        511  1F6 0009EBC0 NtQueryTimerResolution
        512  1F7 0009C330 NtQueryValueKey
        513  1F8 0009C4B0 NtQueryVirtualMemory
        514  1F9 0009C970 NtQueryVolumeInformationFile
        515  1FA 0009EBE0 NtQueryWnfStateData
        516  1FB 0009EC00 NtQueryWnfStateNameInformation
        517  1FC 0009C8F0 NtQueueApcThread
        518  1FD 0009EC20 NtQueueApcThreadEx
        519  1FE 0009EC40 NtRaiseException
        520  1FF 0009EC60 NtRaiseHardError
        521  200 0009C110 NtReadFile
        522  201 0009C610 NtReadFileScatter
        523  202 0009EC80 NtReadOnlyEnlistment
        524  203 0009CAD0 NtReadRequestData
        525  204 0009C830 NtReadVirtualMemory
        526  205 0009ECA0 NtRecoverEnlistment
        527  206 0009ECC0 NtRecoverResourceManager
        528  207 0009ECE0 NtRecoverTransactionManager
        529  208 0009ED00 NtRegisterProtocolAddressInformation
        530  209 0009ED20 NtRegisterThreadTerminatePort
        531  20A 0009ED40 NtReleaseKeyedEvent
        532  20B 0009C450 NtReleaseMutant
        533  20C 0009C190 NtReleaseSemaphore
        534  20D 0009ED60 NtReleaseWorkerFactoryWorker
        535  20E 0009C170 NtRemoveIoCompletion
        536  20F 0009ED80 NtRemoveIoCompletionEx
        537  210 0009EDA0 NtRemoveProcessDebug
        538  211 0009EDC0 NtRenameKey
        539  212 0009EDE0 NtRenameTransactionManager
        540  213 0009EE00 NtReplaceKey
        541  214 0009EE20 NtReplacePartitionUnit
        542  215 0009C1D0 NtReplyPort
        543  216 0009C1B0 NtReplyWaitReceivePort
        544  217 0009C5B0 NtReplyWaitReceivePortEx
        545  218 0009EE40 NtReplyWaitReplyPort
        546  219 0009EE60 NtRequestPort
        547  21A 0009C490 NtRequestWaitReplyPort
        548  21B 0009EE80 NtResetEvent
        549  21C 0009EEA0 NtResetWriteWatch
        550  21D 0009EEC0 NtRestoreKey
        551  21E 0009EEE0 NtResumeProcess
        552  21F 0009CA90 NtResumeThread
        553  220 0009EF00 NtRevertContainerImpersonation
        554  221 0009EF20 NtRollbackComplete
        555  222 0009EF40 NtRollbackEnlistment
